smiles_r,inchikey,VDss,fup,LogP_pred,LogD_pred,MW,TPSA_NO,HBA,HBD,RotBondCount,LogD_exp,CL_exp,LogD
CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCC[NH+](CCCC)CCCC)cc1,ZQTNQVWKHCQYLQ-UHFFFAOYSA-O,20.0,0.02,7.3,4.7,556.76,89.1,7.0,1.0,18.0,,,4.7
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCC[NH+](CC)CC)c(I)c1,IYIKLHRQXLHMJQ-UHFFFAOYSA-O,60.0,0.0002,7.5,6.2,645.31,43.0,4.0,0.0,11.0,,,6.2
CCCOC(C(=O)OC1CC[NH+](C)CC1)(c1ccccc1)c1ccccc1,QPCVHQBVMYCJOM-UHFFFAOYSA-O,2.73,0.1,4.7,3.1,367.48,38.8,4.0,0.0,8.0,,,3.1
CCC[C@@H]1CC(=O)[NH+](C(CC)C(N)=O)C1,MSYKRHVOOPPJKU-VEDVMXKPSA-O,0.56,0.825,0.82,0.82,212.29,63.4,4.0,1.0,5.0,,,0.82
CCC[C@@H]1CC(C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)[NH+](C)C1,KDLRVYVGXIQJDK-DFBSCBFDSA-O,0.79,0.06,1.3,0.96,424.98,102.3,7.0,4.0,7.0,,,0.96
CCC[NH+](CCC)CCc1cccc2[nH]c(O)cc12,FBYFJOVKHROJSY-UHFFFAOYSA-O,7.7,0.6,2.9,1.1,260.37,32.3,3.0,1.0,7.0,,,1.1
CCC[NH+](CCC)S(=O)(=O)c1ccc(C(=O)[O-])cc1,DBABZHXKTCFAPX-UHFFFAOYSA-N,0.13,0.13,3.3,-0.017,285.36,74.7,5.0,1.0,7.0,0.03,,0.03
CCC[NH+](CCc1cccs1)[C@H]1CCc2c([O-])cccc2C1,KFQYTPMOWPVWEJ-INIZCTEOSA-N,5.7,0.08,5.0,3.4,315.47,23.5,2.0,1.0,6.0,,,3.4
CCC[NH+]1CCCCC1C(=O)Nc1c(C)cccc1C,ZKMNUMMKYBVTFN-UHFFFAOYSA-O,0.75,0.06,3.5,2.9,274.4,32.3,3.0,1.0,4.0,,,2.9
CCC[NH2+]C(=O)[N-]S(=O)(=O)c1ccc(Cl)cc1,RKWGIWYCVPQPMF-UHFFFAOYSA-N,0.19,0.03,2.1,-0.29,276.74,75.3,5.0,2.0,4.0,-0.33,,-0.33
CCC[NH2+]C(C)C(=O)Nc1c(C)csc1C(=O)OC,QTGIAADRBBLJGA-UHFFFAOYSA-O,7.7,0.46,1.9,1.2,284.37,67.4,5.0,2.0,7.0,,,1.2
CCC[NH2+]C(C)C(=O)Nc1ccccc1C,MVFGUOIZUNYYSO-UHFFFAOYSA-O,3.7,0.72,2.0,1.2,220.31,41.1,3.0,2.0,5.0,,,1.2
CCC[NH2+]CC(O)COc1ccccc1C(=O)CCc1ccccc1,JWHAUXFOSRPERK-UHFFFAOYSA-O,2.2,0.038,3.3,1.5,341.44,58.6,4.0,2.0,11.0,,,1.5
CCC[NH2+][C@H]1CCc2nc(N)sc2C1,FASDKYOPVNHBLU-ZETCQYMHSA-O,7.0,0.85,1.6,-0.51,211.33,50.9,3.0,2.0,3.0,,,-0.51
CCCc1c(O)n2c(N(C)C)[nH+]c3ccc(C)cc3[n+]2c1O,WCJQZLNBFZHBAY-UHFFFAOYSA-P,0.12,0.004,1.3,0.098,300.36,56.2,6.0,0.0,3.0,,,0.098
CCCc1c2oc(C(=O)[O-])cc(=O)c2cc2c(=O)cc(C(=O)[O-])n(CC)c12,RQTOOFIXOKYGAN-UHFFFAOYSA-L,0.43,0.11,2.8,-3.1,371.34,127.1,8.0,2.0,5.0,,,-3.1
CCCc1cc(=O)[n-]c(=S)[n-]1,KNAHARQHSZJURB-UHFFFAOYSA-L,0.34,0.18,1.2,1.2,170.23,41.1,3.0,2.0,2.0,,,1.2
CCCc1nc(C)c2c(=O)[n-]c(-c3cc(S(=O)(=O)[NH+]4CC[NH+](CC)CC4)ccc3OCC)nn12,SECKRCOLJRRGGV-UHFFFAOYSA-O,3.0,0.05,1.2,0.56,488.6,109.1,10.0,1.0,8.0,,,0.56
CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)[O-])cc1,RMMXLENWKUUMAY-UHFFFAOYSA-M,5.3,0.004,7.7,4.7,514.62,72.9,6.0,1.0,7.0,,,4.7
CCCc1nn(C)c2c(=O)[n-]c(-c3cc(S(=O)(=O)[NH+]4CC[NH+](C)CC4)ccc3OCC)nc12,BNRNXUUZRGQAQC-UHFFFAOYSA-O,1.36,0.04,1.6,1.1,474.58,113.4,10.0,1.0,7.0,,,1.1
CCCn1c(=O)[n-]c(=O)c2nc[n-]c21,YDPQCZQZTQLWCZ-UHFFFAOYSA-L,0.63,0.55,-0.075,-1.4,194.19,78.1,6.0,2.0,2.0,,,-1.4
CCCn1c(=O)c2[n-]c(C34CCC(CCC(=O)[O-])(CC3)CC4)nc2n(CCC)c1=O,ORNLWEWNNHAJHV-UHFFFAOYSA-L,0.76,0.1,3.2,0.73,416.51,110.0,8.0,2.0,8.0,,,0.73
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,HUNXMJYCHXQEGX-UHFFFAOYSA-N,1.3,0.4,1.8,1.8,305.33,74.3,6.0,0.0,4.0,,,1.8
CCNC(=O)C1C[C@@H](n2ccc3c([NH2+][C@H](CC)Cc4sccc4Cl)ncnc32)[C@H](O)[C@@H]1O,CKQOOYMMAAPDKH-HQDSTHLYSA-O,0.84,0.03,2.6,2.6,478.01,112.3,8.0,4.0,8.0,,,2.6
CCNC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C\[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,AQOKCDNYWBIDND-SQXUUDCTSA-N,0.67,0.12,3.3,3.3,415.57,89.8,5.0,4.0,12.0,,,3.3
CCNC(=O)OC1CCN(c2nncc3cc(OC)c(OC)cc23)CC1,QJGVXJYGDBSPSJ-UHFFFAOYSA-N,0.67,0.08,2.3,2.3,360.41,85.8,8.0,1.0,6.0,,64.57,2.3
CCOC(=O)C(CCc1ccccc1)[NH2+]C(C)C(=O)[NH+]1C(C(=O)[O-])C[C@H]2CCCC[C@H]21,VXFJYXUZANRPDJ-YUGKNEBRSA-O,0.25,0.17,3.2,-0.16,430.54,95.9,7.0,2.0,10.0,,,-0.16
CCOC(=O)C1(c2ccccc2)CC[NH+](C)CC1,XADCESSVHJOZHK-UHFFFAOYSA-O,2.3,0.42,3.0,1.8,247.33,29.5,3.0,0.0,4.0,,,1.8
CCOC(=O)C1=C(C)[NH2+]C(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,RZTAMFZIAATZDJ-UHFFFAOYSA-O,4.4,0.0036,4.2,4.2,384.25,64.6,5.0,1.0,6.0,,,4.2
CCOC(=O)C1=C(C)[NH2+]C(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,PVHUJELLJLJGLN-UHFFFAOYSA-O,6.1,0.02,3.0,3.0,360.36,110.4,8.0,1.0,7.0,,,3.0
CCOC(=O)C1=C(COCC[NH3+])[NH2+]C(C)=C(C(=O)OC)C1c1ccccc1Cl,HTIQEAQVCYTUBX-UHFFFAOYSA-P,17.0,0.005,2.0,0.44,408.88,99.9,7.0,2.0,10.0,,,0.44
CCOC(=O)C1=C[C@]2(CC)CCC[NH+]3CCc4c(n1c1ccccc41)[C@@H]32,DDNCQMVWWZOMLN-IRLDBZIGSA-O,2.08,0.02,4.2,4.1,350.45,34.5,4.0,0.0,4.0,,,4.1
CCOC(=O)C1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1[NH+]2C,NMPOSNRHZIWLLL-QGPPMGRFSA-O,1.6,0.64,3.3,2.4,317.38,55.8,5.0,0.0,6.0,,,2.4
CCOC(=O)N[C@@H]1CC[C@@H]2[C@H](CC3C(=O)O[C@H](C)[C@H]3[C@H]2/C=C/c2ccc(-c3cccc(F)c3)cn2)C1,ZBGXUVOIWDMMJE-MTJZJIGHSA-N,3.74,0.01,5.1,5.1,492.58,77.5,6.0,1.0,6.0,,,5.1
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,PCOBBVZJEWWZFR-UHFFFAOYSA-N,2.5,0.2,3.1,3.1,303.33,76.4,5.0,3.0,6.0,,,3.1
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,JUUFBMODXQKSTD-UHFFFAOYSA-N,1.1,0.15,3.1,2.7,304.32,89.3,6.0,3.0,6.0,2.22,,2.22
CCOC(=O)[C@]1(c2ccccc2)CCC=C[C@H]1[NH+](C)C,WDEFBBTXULIOBB-WBVHZDCISA-O,4.0,0.21,4.1,3.4,273.37,29.5,3.0,0.0,5.0,,,3.4
CCOC(=O)c1cncn1[C@H](C)c1ccccc1,NPUKDXXFDDZOKR-LLVKDONJSA-N,2.7,0.23,2.8,2.8,244.29,44.1,4.0,0.0,5.0,,,2.8
CCOC(=O)c1ncn2c1C[NH+](C)C(=O)c1cc(F)ccc1-2,OFBIFZUFASYYRE-UHFFFAOYSA-O,0.8,0.58,1.0,1.0,303.29,64.4,6.0,0.0,3.0,,,1.0
CCOC(Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)[O-],CXGTZJYQWSUFET-UHFFFAOYSA-M,0.13,0.0011,2.7,-0.53,408.47,99.1,7.0,1.0,11.0,,,-0.53
CCOCCn1c(C2CC[NH+](CCc3ccc(C(C)(C)C(=O)[O-])cc3)CC2)nc2ccccc21,ACCMWZWAEFYUGZ-UHFFFAOYSA-N,0.61,0.13,4.2,1.3,463.61,67.6,6.0,1.0,10.0,,,1.3
CCON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CS[C@H]12)c1nsc(NP(=O)([O-])[O-])n1,ZCCUWMICIWSJIX-JANGERMGSA-M,0.53,0.8,-4.6,-7.1,684.68,223.2,16.0,4.0,11.0,,,-7.1
CCOP(=O)(OCC)[C@@H](NC(=O)[C@]1(O)[C@@H](O)[C@@]2(CC)C=CC[NH+]3CC[C@]4(c5cc([C@@]6(C(=O)OC)C[C@H]7C[N@@H+](CCc8c6[nH]c6ccccc86)C[C@@](O)(CC)C7)c(OC)cc5[NH+](C)[C@@H]14)[C@@H]32)C(C)C,BOELCLFVOBIXIF-LCQMQPLQSA-Q,4.67,0.1,4.3,3.9,1044.2,261.0,19.0,7.0,14.0,,,3.9
CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)[O-],FAEKWTJYAYMJKF-QHCPKHFHSA-M,0.315,0.015,5.8,2.4,452.59,78.9,6.0,2.0,10.0,,,2.4
CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1-n1cccc1,NMARPFMJVCXSAV-UHFFFAOYSA-N,2.5,0.12,3.0,2.9,353.42,101.2,7.0,2.0,7.0,,,2.9
CCOc1ccc(CC2=[NH+]CCc3cc(OCC)c(OCC)cc32)cc1OCC,NCVXEYAKRVJMTQ-UHFFFAOYSA-O,1.9,0.12,4.6,4.6,397.51,48.9,5.0,1.0,9.0,,,4.6
CCOc1ccc(Cc2cc(C3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,JVHXJTBJCFBINQ-AWGDKMGJSA-N,1.7,0.09,2.3,2.3,408.87,99.4,6.0,4.0,6.0,,,2.3
CCOc1ccc(NC(C)=O)cc1,CPJSUEIXXCENMM-UHFFFAOYSA-N,1.4,0.47,1.7,1.7,179.22,38.3,3.0,1.0,3.0,1.5,26.92,1.5
CCOc1ccc2c(c1)[C@]1(CC[C@H](OCC[NH+]3CCOCC3)CC1)C(=O)N2S(=O)(=O)c1ccc(C(=O)NC(C)(C)C)cc1OC,QKXJWFOKVQWEDZ-VCCCEUOBSA-O,7.0,0.1,3.5,3.2,643.79,123.7,11.0,1.0,10.0,,,3.2
CCOc1ccc2ccccc2c1C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])C(C)(C)S[C@H]12,GPXLMGHLHQJAGZ-LADRWXRNSA-N,0.22,0.13,3.5,0.18,414.47,95.9,7.0,2.0,5.0,,,0.18
CCOc1ccccc1OCC[NH2+][C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,DRHKJLXJIQTDTD-OAHLLOKOSA-O,0.21,0.01,2.5,1.6,408.51,99.9,7.0,2.0,11.0,,,1.6
CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1C[NH2+]CCO1,CBQGYUDMJHNJBX-RTBURBONSA-O,0.65,0.019,2.7,1.5,313.39,39.7,4.0,1.0,6.0,,,1.5
CCOc1nc2cccc(C(=O)[O-])c2n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,BSLSLQSFLOCXQQ-UHFFFAOYSA-L,0.13,0.002,4.9,-0.31,440.45,118.8,9.0,2.0,7.0,,,-0.31
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,HJLSLZFTEKNLFI-UHFFFAOYSA-N,0.59,0.8,-0.48,-0.48,247.27,97.8,7.0,0.0,5.0,,,-0.48
CC[C@@H](CO)[NH2+]CC[NH2+][C@@H](CC)CO,AEUTYOVWOVBAKS-UWVGGRQHSA-P,1.7,0.18,-0.38,-2.5,204.31,64.5,4.0,4.0,9.0,,,-2.5
CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,RAGOYPUPXAKGKH-IGDKMDNBSA-N,3.8,0.013,4.6,4.6,700.78,115.7,12.0,1.0,12.0,,,4.6
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(C[NH+](C)C)c([O-])ccc3nc2-1,UCFGDBYHRUNTLO-QHCPKHFHSA-N,1.8,0.65,1.3,-1.5,421.45,103.2,8.0,2.0,3.0,0.31,3.24,0.31
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,FUXVKZWTXQUGMW-FQEVSTJZSA-N,2.2,0.003,1.1,1.1,363.37,105.8,7.0,2.0,1.0,,,1.1
CC[C@@]1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(F)c(F)cc3nc2-1,LFQCJSBXBZRMTN-OAQYLSRUSA-N,1.42,0.125682021,-0.7,-0.7,398.36,79.7,6.0,1.0,2.0,,,-0.7
CC[C@@]1(O)C[C@H](O[C@@H]2C[C@H]([NH+]3CCOCC3)[C@H](O)[C@H](C)O2)c2c([O-])c3c(c([O-])c2[C@H]1O)C(=O)c1cccc([O-])c1C3=O,OPBPMGYBSDKJBT-CFOSGXAOSA-L,20.9,0.09,1.4,1.2,585.6,186.4,12.0,6.0,4.0,,,1.2
CC[C@@]1(O)C[NH+]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,QJYVSAYVZYKUJL-LGWHJFRWSA-O,6.8,0.47,2.2,1.4,342.43,65.8,5.0,2.0,4.0,,,1.4
CC[C@H](OC(C)=O)C(C[C@H](C)[NH+](C)C)(c1ccccc1)c1ccccc1,XBMIVRRWGCYBTQ-AVRDEDQJSA-O,8.3,0.2,4.5,3.2,353.5,29.5,3.0,0.0,9.0,,,3.2
CC[C@H](c1ccccc1)c1c([O-])c2ccccc2oc1=O,DQDAYGNAKTZFIW-CYBMUJFWSA-M,0.2,0.57,4.0,1.2,280.32,50.7,3.0,1.0,3.0,,,1.2
CC[C@H]1C2C[C@H]3[C@@H]4[NH+](C)c5ccccc5C45C[C@@H](C2[C@H]5O)[NH+]3[C@@H]1O,CJDRUOGAGYHKKD-IWMNNKGHSA-P,4.0,0.24,1.8,1.5,326.43,46.9,4.0,2.0,1.0,,,1.5
CC[C@H]1C[NH+]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,LJOQGZACKSYWCH-LHHVKLHASA-O,2.8,0.22,3.2,1.7,326.43,45.6,4.0,1.0,4.0,,,1.7
CC[C@H]1OC(=O)C(C)C(=O)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@H]2O)[C@](C)(OC)CC(C)C(=O)C(C)[C@H]2[NH+](CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,LJVAJPDWBABPEJ-HZQJCNAYSA-P,3.0,0.41,3.7,2.4,812.0,171.8,15.0,1.0,11.0,,,2.4
CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@H]2O)[C@](C)(O)CC(C)C(=O)C(C)[C@@H](O)[C@]1(C)O,ULGZDMOVFRHVEP-ZWLFKSPASA-O,0.95,0.1,1.8,0.47,733.93,193.9,14.0,5.0,7.0,,,0.47
CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C[NH+](C)[C@H](C)[C@@H](O)[C@]1(C)O,MQTOSJVFKKJCRP-PVFNQHCDSA-P,33.0,0.88,2.2,-0.18,748.98,180.1,14.0,5.0,7.0,,,-0.18
CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@H]2O)[C@](C)(OC)CC(C)C(=O)C(C)[C@@H](O)[C@]1(C)O,AGOYDEPGAOXOCK-WLLSWQJKSA-O,1.5,0.23,2.3,1.0,747.95,182.9,14.0,4.0,8.0,,,1.0
CC[C@]1(O)C[C@@H]2C[NH+](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)[NH+](C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CC[NH+]6CC[C@]43[C@@H]65)C2)C1,JXLYSJRDGCGARV-CFWMRBGOSA-Q,28.0,0.14,3.9,3.6,810.97,154.1,13.0,3.0,10.0,,,3.6
CC[C@]1(O)C[C@@H]2C[NH+](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)[NH+](C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CC[NH+]6CC[C@]43[C@@H]65)C2)C1,OGWKCGZFUXNPDA-CFWMRBGOSA-Q,2.4,0.4,2.9,2.7,824.96,171.2,14.0,3.0,10.0,,,2.7
CC[NH+](C)C(=O)Oc1cccc([C@H](C)[NH+](C)C)c1,XSVMFMHYUFZWBK-NSHDSACASA-P,1.3,0.6,2.8,1.9,250.34,32.8,4.0,0.0,5.0,,,1.9
CC[NH+](CC)C(=O)/C(C#N)=C/c1cc([O-])c([O-])c([N+](=O)[O-])c1,JRURYQJSLYLRLN-BJMVGYQFSA-M,0.27,0.02,1.6,-0.08,305.29,130.4,8.0,2.0,6.0,,,-0.08
CC[NH+](CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1C[NH3+],GJJFMKBJSRMPLA-HIFRSBDPSA-P,4.51,0.87,0.9,-1.8,246.35,46.3,3.0,1.0,5.0,,,-1.8
CC[NH+](CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,XIQVNETUBQGFHX-UHFFFAOYSA-O,0.85,0.0034,4.3,3.9,357.49,49.8,4.0,1.0,10.0,,,3.9
CC[NH+](CC)CC(=O)Nc1c(C)cccc1C,NNJVILVZKWQKPM-UHFFFAOYSA-O,1.8,0.33,2.7,2.0,234.34,32.3,3.0,1.0,5.0,,,2.0
CC[NH+](CC)CCCC(C)[NH2+]c1c2ccc(Cl)cc2nc2ccc(OC)cc12,GPKJTRJOBQGKQK-UHFFFAOYSA-P,45.0,0.13,6.3,2.8,399.96,37.4,4.0,1.0,9.0,,,2.8
CC[NH+](CC)CCCC(C)[NH2+]c1ccnc2cc(Cl)ccc12,WHTVZRBIWZFKQO-UHFFFAOYSA-P,140.0,0.43,5.3,2.0,319.87,28.2,3.0,1.0,8.0,,,2.0
CC[NH+](CC)CCNC(=O)c1cc(Br)c(N)cc1OC,GIYAQDDTCWHPPL-UHFFFAOYSA-O,3.1,0.6,2.0,0.44,344.25,67.6,5.0,2.0,7.0,,,0.44
CC[NH+](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,TTWJBBZEZQICBI-UHFFFAOYSA-O,3.2,0.6,1.9,0.37,299.8,67.6,5.0,2.0,7.0,,,0.37
CC[NH+](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC(C)C(C)=O,ZYOJXUNLLOBURP-UHFFFAOYSA-O,1.5,0.46,1.7,0.15,355.86,84.7,6.0,2.0,9.0,,,0.15
CC[NH+](CC)CCNC(=O)c1ccc(N)cc1,REQCZEXYDRLIBE-UHFFFAOYSA-O,2.2,0.84,1.2,-0.39,235.33,58.4,4.0,2.0,6.0,,,-0.39
CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1,KEECCEWTUVWFCV-UHFFFAOYSA-O,1.9,0.9,1.3,-0.26,277.36,61.4,5.0,2.0,7.0,,,-0.26
CC[NH+](CC)CCNC(=O)c1ccc(NS(C)(=O)=O)cc1,KHYPYQZQJSBPIX-UHFFFAOYSA-O,0.82,0.96,1.1,-1.6,313.42,78.5,6.0,2.0,8.0,,,-1.6
CC[NH+](CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,KBAFPSLPKGSANY-UHFFFAOYSA-O,0.98,0.2,4.9,3.6,383.52,38.8,4.0,0.0,11.0,,,3.6
CC[NH+](CC)CCS(=O)(=O)[C@@H]1CC[NH+]2C(=O)c3coc(n3)CC(=O)C[C@H](O)/C=C(C)/C=C\CNC(=O)/C=C/[C@@H](C)[C@H](C(C)C)OC(=O)C12,SUYRLXYYZQTJHF-NCIJIVHYSA-P,0.39,0.82,0.6,0.6,690.85,176.7,13.0,2.0,7.0,,,0.6
CC[NH+](CCO)CCCC(C)[NH2+]c1ccnc2cc(Cl)ccc12,XXSMGPRMXLTPCZ-UHFFFAOYSA-P,700.0,0.57,4.1,1.5,335.87,48.4,4.0,2.0,9.0,,,1.5
CC[NH+]1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,BGRJTUBHPOOWDU-LLVKDONJSA-O,0.94,1.0,0.7,-0.75,341.43,101.7,7.0,2.0,6.0,,,-0.75
CC[NH+]1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,GUJRSXAPGDDABA-NSHDSACASA-O,0.65,0.16,2.5,0.86,371.27,50.8,5.0,1.0,6.0,,,0.86
CC[NH+]1CCC[C@H]1CNC(=O)c1c([O-])c(Cl)cc(Cl)c1OC,WAOQONBSWFLFPE-VIFPVBQESA-N,1.1,0.06,2.9,2.1,347.24,61.8,5.0,2.0,5.0,1.09,,1.09
CC[NH+]1CC[NH+](C(=O)NC(C(=O)NC2C(=O)[NH+]3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc([O-])cc2)C(=O)C1=O,GCFBRXLSHGKWDP-WTOQYCPUSA-O,0.17,0.07,-1.2,-4.3,645.67,220.3,17.0,4.0,9.0,,,-4.3
CC[NH+]1CC[NH+](C(=O)NC(C(=O)NC2C(=O)[NH+]3C(C(=O)[O-])C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O,IVBHGBMCVLDMKU-FMWHZOFXSA-P,0.27,0.5,0.84,-2.5,517.55,156.4,12.0,3.0,6.0,,,-2.5
CC[NH2+]CC(O)c1cccc([O-])c1,SQVIAVUSQAWMKL-UHFFFAOYSA-N,2.1,0.77,0.57,-0.9,181.23,52.5,3.0,3.0,4.0,,,-0.9
CC[NH2+][C@@H](C)Cc1cccc(C(F)(F)F)c1,DBGIVFWFUFKIQN-VIFPVBQESA-O,11.0,0.66,3.5,1.7,231.26,12.0,1.0,1.0,4.0,,,1.7
CC[NH2+][C@@H]1C[C@H]([NH3+])[C@@H](O[C@H]2OC(C[NH3+])=CC[C@H]2[NH3+])[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H]([NH2+]C)[C@H]1O,CIDUJQMULVCIBT-MQDUPKMGSA-S,0.073,1.0,-3.8,-7.5,475.58,199.7,12.0,8.0,8.0,,,-7.5
CCc1c2c(nc3ccc(OC(=O)[NH+]4CCC([NH+]5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,UWKQSNNFCGGAFS-XIFFEERXSA-P,3.5,0.51,4.3,2.4,586.68,112.5,10.0,1.0,5.0,,,2.4
CCc1cc2c(cc1CC)CC([NH2+]C[C@H](O)c1ccc([O-])c3[n-]c(=O)ccc13)C2,ZGNMJASADIRLJU-QFIPXVFZSA-M,19.4,0.05,2.6,0.27,392.49,85.3,5.0,4.0,6.0,,,0.27
CCc1cc2c(cc1N1CCC([NH+]3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,KDGFLJKFZUIJMX-UHFFFAOYSA-O,6.35,0.003,5.2,4.9,482.62,72.4,6.0,1.0,4.0,,,4.9
CCc1ccc(Cc2ccc3c(c2)[C@]2(OC3)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,VWVKUNOPTJGDOB-BDHVOXNPSA-N,0.63,0.46,1.6,1.6,386.44,99.4,6.0,4.0,4.0,,,1.6
CCc1cccc2cc(C(O)C[NH2+]C(C)(C)C)oc12,SSEBTPPFLLCUMN-UHFFFAOYSA-O,1.7,0.19,3.3,1.7,261.36,45.7,3.0,2.0,4.0,,,1.7
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,WKSAUQYGYAYLPV-UHFFFAOYSA-N,0.43,0.095,2.9,2.7,248.71,77.8,4.0,2.0,2.0,2.31,,2.31
CCc1nn(CCC[NH+]2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,VRBKIVRKKCLPHA-UHFFFAOYSA-O,0.51,0.01,4.4,4.3,470.01,51.6,7.0,0.0,10.0,,,4.3
CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH+](C)CC3)cc21,FHFYDNQZQSQIAI-UHFFFAOYSA-N,1.5,0.75,2.3,0.041,333.36,64.1,6.0,1.0,3.0,,,0.041
CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH2+]CC3)cc21,OGJPXUAPXNRGGI-UHFFFAOYSA-N,1.88,0.13,1.7,-0.72,319.33,74.6,6.0,2.0,3.0,-0.87,,-0.87
CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH2+]CC3)nc21,IDYZIJYBMGIQMJ-UHFFFAOYSA-N,2.0,0.8,1.4,-1.1,320.32,85.8,7.0,2.0,3.0,-0.83,,-0.83
CCn1cc(C(=O)[O-])c(=O)c2cnc(N3CC[NH2+]CC3)nc21,JOHZPMXAZQZXHR-UHFFFAOYSA-N,0.88,0.7,0.63,-1.9,303.32,100.3,8.0,2.0,3.0,,,-1.9
CCn1cnc(C(=O)NC)c1C(=O)NC,RYRFAMRQBZNEPX-UHFFFAOYSA-N,0.73,0.92,-0.55,-0.55,210.23,76.0,6.0,2.0,3.0,,,-0.55
